Emotion,Sentence,text_length,word_count,emotion_vn
Sadness,haizzz ... thế là chưa có kq gì tốt đẹp cả ..,45,12,buồn
Sadness,bản thân cố gắng cũng chẳng dễ dàng gì :((,42,10,buồn
Disgust,"nói chung là 1 lũ lừa gạt thôi , việt nam mình là vậy đó",56,15,khó chịu
Other,thế em ăn cơm chưa ?,20,6,khác
Other,"thu trăm tỷ phạt 5tr , lại qua tỉnh khác hành nghề ha ha",56,14,khác
Disgust,chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ,68,17,khó chịu
Anger,mày coi chừng có ngày tao dã dô mặt mày như dzầy,48,12,giận dữ
Surprise,canh thời gian đăng đúng vãi !,30,7,ngạc nhiên
Disgust,quan trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo tưởng,62,15,khó chịu
Sadness,học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người,55,14,buồn
Sadness,mình thi xong còn không khóc được 😢,35,8,buồn
Enjoyment,"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí",47,13,vui vẻ
Sadness,"per trừ điểm , trừ điểm",23,6,buồn
Disgust,"5 triệu , phạt một con mụ lừa đảo , phá hủy niềm tin phật giáo , làm ô uế đời sống tâm linh ... thật rẻ rúng làm sao !",118,31,khó chịu
Sadness,cả tuần không được nói chuyện,29,6,buồn
Anger,per mày cẩn thận tao giết,25,6,giận dữ
Disgust,cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑😑😑,59,14,khó chịu
Other,bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm :)),95,26,khác
Enjoyment,đẹp trai quá,12,3,vui vẻ
Anger,đóng cái lồn tao nè chứ đóng,28,7,giận dữ
Sadness,"khổ thân người dân , trước dự án cao su là dự án cà phê , làm thêm dự án nữa coi như một đời bỏ phí",99,27,buồn
Sadness,"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm 😓",182,49,buồn
Enjoyment,hồi nhỏ đọc tao đã nghi nghi rồi =)))))))),42,9,vui vẻ
Disgust,ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi .,53,13,khó chịu
Disgust,"con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi , cuộc sống lạ lùng vãi 😕",93,23,khó chịu
Enjoyment,dù sao thì con trai vẫn nên là người mở lời trước à 🤣🤣🤣🤣🤣🤣,58,14,vui vẻ
Sadness,ad cho hỏi nghệ an lúc nào mưa vậy ah 🌧🌧.. ốm cũng cam lòng chứ vã lắm rồi 🥵🥵,77,20,buồn
Sadness,giận ngược lại rồi giận luôn chứ có huề đéo đâu :(((,52,12,buồn
Enjoyment,per tao được làm fan cứng giống mày rồi 🤣,41,10,vui vẻ
Surprise,xem cái này mới biết vốn tiếng anh của mình cũng khá !,54,13,ngạc nhiên
Disgust,thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa,117,28,khó chịu
Enjoyment,ôi bé xinh gái vãi :)),22,6,vui vẻ
Enjoyment,cười sái mẹ quai hàm,20,5,vui vẻ
Sadness,rồi khi mày có 1 ít tiền :)) mày mới phát hiện ra còn đéo cả có người đi cùng cơ,80,21,buồn
Sadness,tự dưng cay mẹ mắt,18,5,buồn
Fear,tao sợ thật sự :(((,19,5,sợ hãi
Enjoyment,per thịt nướng lò xô ne ăn z mà không chết 😎😎😎😎,47,12,vui vẻ
Enjoyment,tốt quá,7,2,vui vẻ
Enjoyment,ông nào viết vui tính thế =)) cưng thật,39,9,vui vẻ
Surprise,không hiểu sao nhìu người lại thả haha nhỉ ??,45,10,ngạc nhiên
Disgust,diễn viên già vãi -.-,21,5,khó chịu
Enjoyment,ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ 😂😂😂,54,13,vui vẻ
Enjoyment,cưng quá đi,11,3,vui vẻ
Surprise,nhìn mẫu này lạ mắt mà đẹp quá,30,8,ngạc nhiên
Sadness,tao cay mẹ khoé mắt,19,5,buồn
Disgust,thấy mệt thêm chứ chẳng khỏe gì cả .,36,9,khó chịu
Enjoyment,":)) đang ăn mỳ , không có trứng nhạt lắm , có rụnng thì xin vài quả !",69,18,vui vẻ
Enjoyment,"cảm ơn nói chuyện nhật ! 1 nền khoa học , giáo dục , trí tuệ văn minh !! 😘",74,20,vui vẻ
Disgust,tao mệt chúng mày quá,21,5,khó chịu
Enjoyment,hahaha lúc trước ca làm có 4 chị em vui biết bao :)),52,13,vui vẻ
Disgust,đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 🙄,89,23,khó chịu
Other,các bạn đang bảo con này ah 😂😂😂,31,8,khác
Enjoyment,má chủ dễ thương vậy tao cũng muốn xin,38,9,vui vẻ
Enjoyment,"kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí "" tro "" vào lần sau không phải nấu 😊",90,22,vui vẻ
Sadness,"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng",197,47,buồn
Anger,địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được,99,25,giận dữ
Enjoyment,nhìn thương quá ... lao động nghiêm túc,39,8,vui vẻ
Sadness,đm thực tế như này còn hay . tiếc là đéo ở gần mình =)),55,15,buồn
Other,per mấy trụ kia em không tag được,33,8,khác
Anger,nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác,72,17,giận dữ
Surprise,per ơ ơ ơ đây là đâu vậy,24,8,ngạc nhiên
Anger,gặm gặm cái đéo ý à ... bố gặm luôn mày giờ ...!!!,50,13,giận dữ
Disgust,"thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk , người có ăn học có ý thức sẽ không nói ra câu đó .",171,45,khó chịu
Disgust,k phải là trời không cho mày yêu . vì m quá ngulon,50,13,khó chịu
Fear,"per tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó :((",141,36,sợ hãi
Sadness,hết tiền rồi này,16,4,buồn
Enjoyment,"đẹp , dẽ thương mà",18,5,vui vẻ
Anger,tử hình con mẹ nó lũ chó má không có tính người đi . khổ thân lũ trẻ,68,18,giận dữ
Enjoyment,phim xem hay ... nhẹ nhàng tình cảm ... và cười vkl,51,12,vui vẻ
Sadness,thế làm sao dỗ bạn gái đang giận :(,35,9,buồn
Anger,t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :),95,26,giận dữ
Fear,loài này bé như ngón tay phàm ăn lắm sợ luôn,44,11,sợ hãi
Disgust,"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ....",113,28,khó chịu
Disgust,dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười,62,14,khó chịu
Sadness,chẳng đủ dịu dàng để níu bước chân anh,38,9,buồn
Other,1 cái xe cup này ngày xưa bằng mấy cái nhà liền,47,12,khác
Enjoyment,mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó,67,17,vui vẻ
Sadness,em chưa có người yêu . có ai yêu em không . em cô đơn quá,57,16,buồn
Enjoyment,nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊,37,9,vui vẻ
Enjoyment,per =)))))) hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày :),103,24,vui vẻ
Other,bả đòi cái gì vậy ?,19,6,khác
Sadness,"cái thứ ba , trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa",99,25,buồn
Surprise,per biết không :))),19,4,ngạc nhiên
Sadness,dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .,60,16,buồn
Disgust,mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự .. bố tổ sư,93,23,khó chịu
Disgust,cô tiên béo quá .. 😅😅 giọng còn the thé nữa .. 😅😅,49,13,khó chịu
Disgust,lên án nhiều rồi mà vẫn thế .,29,8,khó chịu
Disgust,thằng này ngu vãi,17,4,khó chịu
Surprise,cây tre có tận trăm đốt luôn hả ???,35,9,ngạc nhiên
Sadness,nói tiếng tuy hoà phú yên làm tao nhớ đến nyc . giọng nó sao ngọt không thể tả . buồn,85,21,buồn
Disgust,"per mợ mệt , trưa nào cũng nhìn mày nhai chóp chép ..",53,13,khó chịu
Fear,"đừng nên thích mấy ông anh cơ bắp , sợ lắm 😆",44,12,sợ hãi
Enjoyment,có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ?? 😀,61,16,vui vẻ
Disgust,tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣🤣🤣,73,18,khó chịu
Sadness,và khi quay lại nói chuyện với nhau .... biết nói gì giờ huhu,61,14,buồn
Disgust,thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu,70,18,khó chịu
Disgust,cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz,57,15,khó chịu
Disgust,tao thấy giống khùng với lại vô duyên chứ hay gì,48,11,khó chịu
Enjoyment,cần gì những thứ xa hoa lộng lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi 😊😊😊,124,30,vui vẻ
Fear,t gặp ngỗng chạy bỏ dép,23,6,sợ hãi
Disgust,"vừa ngu vừa ngông thì thế , làm trễ tàu của người ta",52,13,khó chịu
Surprise,sao nó trèo lên được hay vậy @@,31,8,ngạc nhiên
Enjoyment,"khuôn mặt ngây thơ vô số tội , trái tim nhỏ bé của tao sao chịu được ❤❤❤",72,18,vui vẻ
Sadness,cuộc sống mà đành chịu thôi =(((,32,7,buồn
Sadness,"cấp 3 , đáng tiếc nhất trong thời học sinh ^^",45,11,buồn
Other,"per mình đang nói phần lớn thôi , chứ tất nhiên cũng có ngoại lệ mà",67,16,khác
Enjoyment,"thích chị này nhất phim í , bé bé xinh xinh lại diễn rất đạt :3 . hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa < 3",127,33,vui vẻ
Disgust,dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng cáo ấy ( ý kiến cá nhân ) 😔,94,24,khó chịu
Other,t thấy chả có gì thú vị .,25,8,khác
Surprise,vậy mà củng chẳng hút được khách !,34,8,ngạc nhiên
Enjoyment,khi nào lên chùa ba vàng giải được vong thì kết hôn :)),55,13,vui vẻ
Disgust,thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe .. 🤣,78,20,khó chịu
Enjoyment,chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon,81,19,vui vẻ
Disgust,cận cảnh cái bụng nước lèo của boss =))) xài hao vãi,52,12,khó chịu
Other,bản chất tham lam của con người thể hiện ngay từ những việc nhỏ ..,66,15,khác
Sadness,em đi bộ chết mẹ đây này,24,7,buồn
Enjoyment,"thật tốt vì chú chó ấy đã tìm được người yêu thương nó , kiên trì để nó tin tưởng thật sự :"">",93,23,vui vẻ
Disgust,"phim này xem nam chính thôi . nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm . giận không ra giận , vui không ra vui .",119,29,khó chịu
Disgust,nhìn mặt nó khó ưa thật chứ,27,7,khó chịu
Other,lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :-),60,15,khác
Other,giờ lên phường người ta có phát chú rể không nhỉ các bạn ?,58,14,khác
Disgust,một cái ngu thật sứng đáng,26,6,khó chịu
Enjoyment,năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn ké socola of bọn có người yêu 😁😂...# mun 😘,127,31,vui vẻ
Other,hãy dùng một đời để minh chứng nhé !💕😍,38,9,khác
Disgust,con mụ đen sai còn già mồm ...,30,8,khó chịu
Enjoyment,chỉ cần yên bình như thế này thôi . ❤️❤️❤️,42,10,vui vẻ
Sadness,năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc,58,13,buồn
Fear,chỉ sợ lúc nó dí,16,5,sợ hãi
Enjoyment,hên là chay ra kip,18,5,vui vẻ
Anger,immm,4,1,giận dữ
Sadness,tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁,66,16,buồn
Enjoyment,đa ́ người yêuc quá ́,21,6,vui vẻ
Disgust,"5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi , chứ phạt g đâu , xếp lớn của bà và xếp lớn của công an phường là 1 , ai lại đi đá gà nhà ...",201,51,khó chịu
Fear,kinh dị v,9,3,sợ hãi
Enjoyment,thật may em đã gặp được người tài xế tốt 🌸🌸,43,11,vui vẻ
Surprise,bắn không trượt phát nào luôn à,31,7,ngạc nhiên
Surprise,tại sao mày nằm viện mà vẫn xinh thế ??,39,10,ngạc nhiên
Surprise,đẹp trai mà bị đá à,19,6,ngạc nhiên
Sadness,cho con được thay ông bán vé đi 😔,33,9,buồn
Disgust,lớp xuất hiện thứ âm binh,25,6,khó chịu
Enjoyment,đọc bình luận cười ẻ,20,5,vui vẻ
Enjoyment,per cách này coi bộ hay nha 😂,29,8,vui vẻ
Enjoyment,"mặt đúng kiểu , em hiểu cảm giác phê của anh không kkk",54,13,vui vẻ
Disgust,per thanh niên suốt ngày hát karaoke max volum,46,9,khó chịu
Disgust,lỡ câu chuyện là thật thì sao . chưa gì lên chửi người ta là rẻ rách,68,17,khó chịu
Anger,bố mày ngứa mắt lắm rồi đấy,27,7,giận dữ
Anger,thề địt mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện thoại vãi :),71,17,giận dữ
Anger,cả đám súc vật này,18,5,giận dữ
Disgust,bố mấy thằng bệnh,17,4,khó chịu
Sadness,thật khó để có cả 2 khi chúng ta còn trẻ :),43,12,buồn
Disgust,nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì,106,26,khó chịu
Enjoyment,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,103,26,vui vẻ
Disgust,còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn,176,42,khó chịu
Disgust,mấy thằng này người ta gọi là mấy thằng nhà quê . năm nào rồi còn túm 5 tụm 3 trêu gái,86,22,khó chịu
Enjoyment,cô giáo có tâm vời nghề ghêeeee,31,7,vui vẻ
Sadness,tiếc quá đẹp trai mờ không có chim,34,8,buồn
Enjoyment,crush ở nhà chơi gane rồi haha,30,7,vui vẻ
Sadness,nhìn stt đồng cảm khủng khiếp .,31,7,buồn
Enjoyment,cài lò xô huyền thoại,21,5,vui vẻ
Disgust,quên đào tạo đạo đức thôi mà báo làm căng vãi 😂,47,12,khó chịu
Disgust,đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức,62,16,khó chịu
Enjoyment,"cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng , cố gắng lên em nhé 👍",107,28,vui vẻ
Fear,hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết 😂 vừa dí vừa ngoác mỏ hét sợ vãi ra,182,47,sợ hãi
Anger,trốn cũng đéo tha,17,4,giận dữ
Enjoyment,"con gấu trúc , cho nó ăn trúc đi =))) tướng ngồi nhìn cưng vãi",62,15,vui vẻ
Sadness,rồi lại im thôi . 200k hay 5tr thì cũng vậy,43,11,buồn
Enjoyment,"cái lò huyền thoại nè per , lúc mình ở chung đó",47,12,vui vẻ
Fear,hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ,63,16,sợ hãi
Fear,tí nữa vợ nó vắt chân lên cổ bò thì hú hồn,42,12,sợ hãi
Enjoyment,tuyệt vời,9,2,vui vẻ
Surprise,trẻ con bao giờ ga lăng sớm thế nhỉ ?! hồi mình bằng bọn này đuổi đánh nhau hỡi chết :))))),91,21,ngạc nhiên
Other,tính đi chạy xe mà mưa cho nên ta ở nhà :),42,12,khác
Enjoyment,nhìn nó cưng quá,16,4,vui vẻ
Disgust,chủ tịch giả làm nhện và cái kết . đừng bao giờ xem thường người khác .,71,17,khó chịu
Disgust,"này thì cắt đức quan hệ , toàn thể hiện , dume nó",49,13,khó chịu
Disgust,con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình,77,19,khó chịu
Enjoyment,hạnh phúc to nè,15,4,vui vẻ
Disgust,"độ "" thâm "" của bác phải gọi là "" bố "" của tàu",46,14,khó chịu
Enjoyment,ông thần nhây vãi đái 😂😂,24,6,vui vẻ
Surprise,tóm lại vẩn ế à,15,5,ngạc nhiên
Sadness,chả vị nước mắt à 😔,19,6,buồn
Anger,con lợn kia sao đập vào đầu vợ bé của tao =)),45,12,giận dữ
Other,tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt,65,15,khác
Fear,cứ sợ rớt điện thoại :)))) sợ nhất là lỡ khúc nào khó là té không thể tả nổi,76,19,sợ hãi
Enjoyment,hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem,79,19,vui vẻ
Enjoyment,hahaa coi cái mặt con nhỏ thấy thương,37,8,vui vẻ
Enjoyment,"per khiếp nhớ ngày xưa quá anh em ơi , đi làm cười từ sáng tới tối luôn 😩",73,19,vui vẻ
Other,per tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ,56,13,khác
Enjoyment,"tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 🤨 chả bù cho mình , lúc đéo nào cũng cười , cuộc sống tràn ngập niềm vui < 3",138,35,vui vẻ
Enjoyment,không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤,67,14,vui vẻ
Enjoyment,per anh tặng vợ cái bát nha kaka,32,8,vui vẻ
Enjoyment,"tiêu đề bộ phim cứ ngỡ là thể loại hài , nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này",121,30,vui vẻ
Anger,như lol,7,2,giận dữ
Surprise,bất ngờ chưa =))),17,4,ngạc nhiên
Anger,"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc",69,17,giận dữ
Anger,"ay , đau thế , thằng chó !",26,8,giận dữ
Sadness,"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra .",157,38,buồn
Anger,"đm cho tù mọt gông đi , cái thứ không não",41,11,giận dữ
Anger,con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn,80,21,giận dữ
Sadness,a per ..... nhìn những hình ảnh này ... sao em nhớ về anh quá .... 15 năm ròng rã .. giờ anh lưu lạc nơi đâu . 😭😭😭😭,115,29,buồn
Disgust,"kiến phải loại kiến lửa , kiến vàng , còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời :))",101,25,khó chịu
Enjoyment,per có nên áp dụng với anh hàng xóm không nhể 😆😆😆,49,12,vui vẻ
Enjoyment,đáng yêuc quá,13,3,vui vẻ
Other,ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy,55,14,khác
Disgust,làm như chỉ có chúng mày biết yêu nhau ý .,42,11,khó chịu
Other,nói chung là không nên uống chẳng bổ béo gì đâu,47,11,khác
Enjoyment,không nổi thì mình chìm haha,28,6,vui vẻ
Other,nóng tính quá hỏng viẹc - trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được,87,19,khác
Other,anh cũng bướng làm !,20,5,khác
Anger,"mỗi lần như thế tao chửi , mà bọn nó xem đó là trò đùa mày ạ , càng chửi càng cười",82,22,giận dữ
Sadness,nhìn ma tiếc từng hạt trân châu,31,7,buồn
Enjoyment,thật cảm động,13,3,vui vẻ
Surprise,"trời ơi , tin được không ????",29,7,ngạc nhiên
Enjoyment,per nhìn mặt hài vler :))),26,6,vui vẻ
Enjoyment,"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)",53,14,vui vẻ
Enjoyment,một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu,60,14,vui vẻ
Disgust,người ngoài hành tinh đi học tiếng anh rồi à vãi,48,11,khó chịu
Sadness,đó là một câu chuyện buồn 😀,27,7,buồn
Disgust,lỗi đạo cụ,10,3,khó chịu
Disgust,per dạo này bị xàm à 😂😂😂,24,7,khó chịu
Sadness,như chết đi sống lại 🙂,22,6,buồn
Sadness,"bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay , nồng nơi khóe mắt :))",70,18,buồn
Enjoyment,điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .,54,16,vui vẻ
Anger,thả tao ra để tao cắn chết mẹ nó =)),36,10,giận dữ
Enjoyment,per tao cứ thấy giống giống mày :))))),38,8,vui vẻ
Disgust,vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau,67,16,khó chịu
Disgust,"giỏi thì tự đi mà thiết kế các kiểu . ở đó chỉ giỏi cào phím chê bai thôi . ông đã làm được gì , am hiểu gì mà chê này chê nọ",125,34,khó chịu
Enjoyment,ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút ..,126,30,vui vẻ
Enjoyment,cưng hết sức nà,15,4,vui vẻ
Disgust,"học kiểu ăn nói láp xược , tại sao không dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo",91,23,khó chịu
Surprise,cái nệm này độ đàn hồi đỉnh ghê,31,8,ngạc nhiên
Sadness,"em lấy đi niềm tin chả lại cho anh những gì , cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất .. anh chân thành nên anh tổn thương",139,34,buồn
Anger,con mèo khốn nạn dám bóp vếu vợ tao à 😡,39,11,giận dữ
Surprise,"giỏi quá ta , cố gắng phát huy nha",34,9,ngạc nhiên
Other,"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa",86,22,khác
Other,ăn cả thế giới đã,17,5,khác
Anger,"mấy cái thằng này xử bắn hết đi , to xác không lo làm ăn suốt ngày trộm cắp",75,19,giận dữ
Disgust,"đưa lên để nhận đồng cảm à ?? họ sai họ chịu phạt , còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi .",171,45,khó chịu
Sadness,chú này tội lắm á :(,20,6,buồn
Anger,gọi phường cẩu đi thôi,22,5,giận dữ
Disgust,link phim đéo có .. mà zo toàn gặp bình luận xàm,48,12,khó chịu
